Date,Value
1/01/2022,99.3
1/02/2022,99.6
1/03/2022,96.1
1/04/2022,95.8
1/05/2022,96.5
1/06/2022,95.7
1/07/2022,96.6
1/08/2022,96.9
1/09/2022,96.7
1/01/2021,89.3
1/02/2021,90.2
1/03/2021,89.7
1/04/2021,88.8
1/05/2021,90
1/06/2021,91.3
1/07/2021,90.4
1/08/2021,90.5
1/09/2021,91.2
1/10/2021,93.4
1/11/2021,97.7
1/12/2021,98.8
1/01/2020,94.2
1/02/2020,94.2
1/03/2020,94.2
1/04/2020,94.2
1/05/2020,94.2
1/06/2020,93.4
1/07/2020,92.8
1/08/2020,88.6
1/09/2020,88.3
1/10/2020,88.9
1/11/2020,88
1/12/2020,87.6
1/01/2019,94
1/02/2019,94.3
1/03/2019,94
1/04/2019,94.8
1/05/2019,94.8
1/06/2019,94.8
1/07/2019,94.6
1/08/2019,94.2
1/09/2019,95
1/10/2019,94.2
1/11/2019,94.2
1/12/2019,95
1/01/2018,92.7
1/02/2018,93.5
1/03/2018,94.3
1/04/2018,96.3
1/05/2018,93.2
1/06/2018,94.1
1/07/2018,93.4
1/08/2018,93.2
1/09/2018,94
1/10/2018,94.1
1/11/2018,93.9
1/12/2018,95.1
1/01/2017,96.8
1/02/2017,95.8
1/03/2017,96.3
1/04/2017,96
1/05/2017,95.5
1/06/2017,94.7
1/07/2017,94.4
1/08/2017,96.5
1/09/2017,95.7
1/10/2017,93.2
1/11/2017,90.7
1/12/2017,91
1/01/2016,98.1
1/02/2016,98.5
1/03/2016,99.4
1/04/2016,96.9
1/05/2016,97.8
1/06/2016,97.6
1/07/2016,97.3
1/08/2016,99.3
1/09/2016,98
1/10/2016,96.4
1/11/2016,98.4
1/12/2016,98.1
1/01/2015,97.3
1/02/2015,95.1
1/03/2015,93.8
1/04/2015,98.8
1/05/2015,97.5
1/06/2015,96.3
1/07/2015,97.7
1/08/2015,95.7
1/09/2015,95.8
1/10/2015,95.2
1/11/2015,95.8
1/12/2015,97.4
1/01/2014,110.5
1/02/2014,107.6
1/03/2014,109.6
1/04/2014,98.4
1/05/2014,100.1
1/06/2014,97.3
1/07/2014,96.9
1/08/2014,97.3
1/09/2014,98.9
1/10/2014,98.1
1/11/2014,96.1
1/12/2014,96.2
1/01/2013,104.9
1/02/2013,102.8
1/03/2013,103.9
1/04/2013,108
1/05/2013,103.8
1/06/2013,104.8
1/07/2013,103.8
1/08/2013,105.8
1/09/2013,105.3
1/10/2013,103.3
1/11/2013,109.5
1/12/2013,116.5
1/04/2012,104.6
1/05/2012,103.3
1/06/2012,104.2
1/07/2012,106.1
1/08/2012,104.6
1/09/2012,105
1/10/2012,100.4
1/11/2012,102.9
1/12/2012,102.1
